N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.04,1,0.94,1,-2.14799
0.04,1,0.95,0,-2.12719
0.04,1,0.96,1,-2.26213
0.04,1,0.97,0,-2.26557
0.04,1,0.98,1,-2.36888
0.04,1,0.99,0,-2.39579
0.04,1,1,1,-2.46866
0.04,1,1.01,0,-2.51755
0.04,1,1.02,1,-2.56188
0.04,1,1.03,0,-2.63077
0.04,1,1.04,1,-2.64893
0.04,1,1.05,0,-2.73557
0.04,1,1.06,1,-2.7302
0.04,1,1.07,0,-2.8322
0.04,1,1.08,1,-2.80603
0.04,1,1.09,0,-2.92106
0.04,1,1.1,1,-2.87677
0.04,1,1.11,0,-3.00257
0.04,1,1.12,1,-2.94274
0.04,1,1.13,0,-3.07724
0.04,1,1.14,1,-3.00425
0.04,1,1.15,0,-3.14556
0.04,1,1.16,1,-3.0616
0.04,1,1.17,0,-3.20803
0.04,1,1.18,1,-3.11506
0.04,1,1.19,0,-3.26515
0.04,1,1.2,1,-3.16489
0.04,1,1.21,0,-3.31736
0.04,1,1.22,1,-3.21134
0.04,1,1.23,0,-3.3651
0.04,1,1.24,1,-3.25463
0.04,1,1.25,0,-3.40877
0.04,1,1.26,1,-3.29499
0.04,1,1.27,0,-3.44874
0.04,1,1.28,1,-3.33263
0.04,1,1.29,0,-3.48533
0.04,1,1.3,1,-3.36773
0.04,1,1.31,0,-3.51886
0.04,1,1.32,1,-3.40047
0.04,1,1.33,0,-3.5496
0.04,1,1.34,1,-3.43102
0.04,1,1.35,0,-3.57781
0.04,1,1.36,1,-3.45954
0.04,1,1.37,0,-3.60371
0.04,1,1.38,1,-3.48617
0.04,1,1.39,0,-3.6275
0.04,1,1.4,1,-3.51105
0.04,1,1.41,0,-3.64938
0.04,1,1.42,1,-3.5343
0.04,1,1.43,0,-3.66951
0.04,1,1.44,1,-3.55604
0.04,1,1.45,0,-3.68805
0.04,1,1.46,1,-3.57638
0.04,1,1.47,0,-3.70513
0.04,1,1.48,1,-3.59542
0.04,1,1.49,0,-3.72088
0.04,1,1.5,1,-3.61325
0.05,0,0.01,0,0.95288
0.05,0,0.02,1,4.12168
0.05,0,0.03,0,5.16619
0.05,0,0.04,1,6.4637
0.05,0,0.05,0,6.49407
0.05,0,0.06,1,6.67511
0.05,0,0.07,0,6.16448
0.05,0,0.08,1,5.81252
0.05,0,0.09,0,5.29226
0.05,0,0.1,1,4.87022
0.05,0,0.11,0,4.46697
0.05,0,0.12,1,4.5053
0.05,0,0.13,0,4.17836
0.05,0,0.14,1,4.37894
0.05,0,0.15,0,4.03511
0.05,0,0.16,1,4.28954
0.05,0,0.17,0,3.92362
0.05,0,0.18,1,4.2171
0.05,0,0.19,0,3.84336
0.05,0,0.2,1,4.16426
0.05,0,0.21,0,3.79143
0.05,0,0.22,1,4.12177
0.05,0,0.23,0,3.75436
0.05,0,0.24,1,4.08011
0.05,0,0.25,0,3.72142
0.05,0,0.26,1,4.03506
0.05,0,0.27,0,3.68766
0.05,0,0.28,1,3.98593
0.05,0,0.29,0,3.65162
0.05,0,0.3,1,3.93337
0.05,0,0.31,0,3.61331
0.05,0,0.32,1,3.8781
0.05,0,0.33,0,3.57301
0.05,0,0.34,1,3.82044
0.05,0,0.35,0,3.53081
0.05,0,0.36,1,3.76008
0.05,0,0.37,0,3.48624
0.05,0,0.38,1,3.69606
0.05,0,0.39,0,3.43796
0.05,0,0.4,1,3.62672
0.05,0,0.41,0,3.38321
0.05,0,0.42,1,3.54969
0.05,0,0.43,0,3.31699
0.05,0,0.44,1,3.46149
0.05,0,0.45,0,3.23117
0.05,0,0.46,1,3.35651
0.05,0,0.47,0,3.11502
0.05,0,0.48,1,3.22605
0.05,0,0.49,0,2.95963
0.05,0,0.5,1,3.06229
0.05,0,0.51,0,2.76717
0.05,0,0.52,1,2.86817
0.05,0,0.53,0,2.55525
0.05,0,0.54,1,2.65895
0.05,0,0.55,0,2.34606
0.05,0,0.56,1,2.44937
0.05,0,0.57,0,2.15184
0.05,0,0.58,1,2.24427
0.05,0,0.59,0,1.97277
0.05,0,0.6,1,2.04081
0.05,0,0.61,0,1.80324
0.05,0,0.62,1,1.83416
0.05,0,0.63,0,1.6372
0.05,0,0.64,1,1.62062
0.05,0,0.65,0,1.47
0.05,0,0.66,1,1.39849
0.05,0,0.67,0,1.2986
0.05,0,0.68,1,1.16799
0.05,0,0.69,0,1.12114
0.05,0,0.7,1,0.93079
0.05,0,0.71,0,0.93658
0.05,0,0.72,1,0.68943
0.05,0,0.73,0,0.74446
0.05,0,0.74,1,0.44686
0.05,0,0.75,0,0.54476
0.05,0,0.76,1,0.206
0.05,0,0.77,0,0.33788
0.05,0,0.78,1,-0.03061
0.05,0,0.79,0,0.12466
0.05,0,0.8,1,-0.26093
0.05,0,0.81,0,-0.09363
0.05,0,0.82,1,-0.48346
0.05,0,0.83,0,-0.31524
0.05,0,0.84,1,-0.69722
0.05,0,0.85,0,-0.53806
0.05,0,0.86,1,-0.90162
0.05,0,0.87,0,-0.75971
0.05,0,0.88,1,-1.09632
0.05,0,0.89,0,-0.97774
0.05,0,0.9,1,-1.28122
0.05,0,0.91,0,-1.18981
0.05,0,0.92,1,-1.45637
0.05,0,0.93,0,-1.3939
0.05,0,0.94,1,-1.62187
0.05,0,0.95,0,-1.58838
0.05,0,0.96,1,-1.77791
0.05,0,0.97,0,-1.7721
0.05,0,0.98,1,-1.92472
0.05,0,0.99,0,-1.94439
0.05,0,1,1,-2.06257
0.05,0,1.01,0,-2.10496
0.05,0,1.02,1,-2.19176
0.05,0,1.03,0,-2.25387
0.05,0,1.04,1,-2.31262
0.05,0,1.05,0,-2.39144
0.05,0,1.06,1,-2.42548
0.05,0,1.07,0,-2.51816
0.05,0,1.08,1,-2.53073
0.05,0,1.09,0,-2.63461
0.05,0,1.1,1,-2.62872
0.05,0,1.11,0,-2.74145
0.05,0,1.12,1,-2.71985
0.05,0,1.13,0,-2.83936
0.05,0,1.14,1,-2.80449
0.05,0,1.15,0,-2.929
0.05,0,1.16,1,-2.88303
0.05,0,1.17,0,-3.01103
0.05,0,1.18,1,-2.95586
0.05,0,1.19,0,-3.08606
0.05,0,1.2,1,-3.02333
0.05,0,1.21,0,-3.15467
0.05,0,1.22,1,-3.08581
0.05,0,1.23,0,-3.21741
0.05,0,1.24,1,-3.14364
0.05,0,1.25,0,-3.27479
0.05,0,1.26,1,-3.19715
0.05,0,1.27,0,-3.32726
0.05,0,1.28,1,-3.24666
0.05,0,1.29,0,-3.37526
0.05,0,1.3,1,-3.29246
0.05,0,1.31,0,-3.41916
0.05,0,1.32,1,-3.33483
0.05,0,1.33,0,-3.45933
0.05,0,1.34,1,-3.37403
0.05,0,1.35,0,-3.49611
0.05,0,1.36,1,-3.4103
0.05,0,1.37,0,-3.52979
0.05,0,1.38,1,-3.44388
