N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.42,1,0.31,0,8.69387,8.71012
0.41,0,0.32,1,8.70505,8.72856
0.4,1,0.33,0,8.68961,8.71222
0.39,0,0.34,1,8.64156,8.669
0.38,1,0.35,0,8.5681,8.58804
0.37,0,0.36,1,8.46018,8.46292
0.45,0,0.29,0,8.52156,8.51636
0.44,1,0.3,1,8.64275,8.6529
0.43,0,0.31,0,8.66317,8.68178
0.42,1,0.32,1,8.7252,8.74507
0.41,0,0.33,0,8.68,8.70509
0.4,1,0.34,1,8.68771,8.71321
0.39,0,0.35,0,8.58356,8.6087
0.38,1,0.36,1,8.53304,8.54607
0.37,0,0.37,0,8.38171,8.3635
0.46,1,0.29,0,8.49509,8.47874
0.45,0,0.3,1,8.5925,8.60326
0.44,1,0.31,0,8.66081,8.6724
0.43,0,0.32,1,8.69561,8.71487
0.42,1,0.33,0,8.70087,8.71973
0.41,0,0.34,1,8.67891,8.70173
0.4,1,0.35,0,8.62765,8.64967
0.39,0,0.36,1,8.55344,8.56216
0.38,1,0.37,0,8.44827,8.44458
0.37,0,0.38,1,8.29651,8.28289
0.47,0,0.29,0,8.44353,8.41915
0.46,1,0.3,1,8.58227,8.57599
0.45,0,0.31,0,8.62453,8.63476
0.44,1,0.32,1,8.70524,8.72023
0.43,0,0.33,0,8.68282,8.70445
0.42,1,0.34,1,8.71148,8.73323
0.41,0,0.35,0,8.63588,8.65748
0.4,1,0.36,1,8.60881,8.62545
0.39,0,0.37,0,8.48621,8.48052
0.38,1,0.38,1,8.39393,8.38706
0.47,0,0.3,1,8.53,8.52055
0.46,1,0.31,0,8.61339,8.61422
0.45,0,0.32,1,8.67103,8.68416
0.44,1,0.33,0,8.69598,8.71037
0.43,0,0.34,1,8.69469,8.71404
0.42,1,0.35,0,8.66681,8.68618
0.41,0,0.36,1,8.61684,8.63039
0.4,1,0.37,0,8.53734,8.54161
0.39,0,0.38,1,8.43592,8.41464
0.49,0,0.29,0,8.35093,8.31875
0.48,1,0.3,1,8.50738,8.48227
0.47,0,0.31,0,8.57713,8.56684
0.46,1,0.32,1,8.67166,8.67746
0.45,0,0.33,0,8.67387,8.68757
0.44,1,0.34,1,8.71781,8.73471
0.43,0,0.35,0,8.66196,8.68349
0.42,1,0.36,1,8.66124,8.67785
0.41,0,0.37,0,8.55835,8.56592
0.4,1,0.38,1,8.5001,8.49698
0.49,0,0.3,1,8.45058,8.42629
0.48,1,0.31,0,8.55606,8.53536
0.47,0,0.32,1,8.6345,8.63472
0.46,1,0.33,0,8.67662,8.68431
0.45,0,0.34,1,8.69559,8.70941
0.44,1,0.35,0,8.68759,8.70252
0.43,0,0.36,1,8.65711,8.67265
0.42,1,0.37,0,8.60114,8.61125
0.41,0,0.38,1,8.52382,8.51712
0.4,1,0.39,0,8.41697,8.40206
0.5,1,0.3,1,8.42354,8.38095
0.49,0,0.31,0,8.50845,8.48071
0.48,1,0.32,1,8.62757,8.61509
0.47,0,0.33,0,8.65128,8.65345
0.46,1,0.34,1,8.71081,8.71971
0.45,0,0.35,0,8.67765,8.69133
0.44,1,0.36,1,8.69293,8.7073
0.43,0,0.37,0,8.61168,8.62383
0.42,1,0.38,1,8.5786,8.58164
0.41,0,0.39,0,8.45428,8.43771
0.51,0,0.3,1,8.35192,8.33121
0.5,1,0.31,0,8.48336,8.44088
0.49,0,0.32,1,8.58066,8.56555
0.48,1,0.33,0,8.64806,8.63993
0.47,0,0.34,1,8.686,8.68877
0.46,1,0.35,0,8.69595,8.70184
0.45,0,0.36,1,8.68282,8.69365
0.44,1,0.37,0,8.64551,8.65668
0.43,0,0.38,1,8.58735,8.59282
0.42,1,0.39,0,8.5059,8.5011
0.41,0,0.4,1,8.39436,8.38216
0.52,1,0.3,1,8.30112,8.27948
0.51,0,0.31,0,8.42105,8.38535
0.5,1,0.32,1,8.56376,8.53368
0.49,0,0.33,0,8.61141,8.60006
0.48,1,0.34,1,8.6932,8.68814
