Z	A	EL	mass excess	err	B/A	err	est
22	44	Ti	-37548.569	0.700	8533.520	0.016	0
23	44	V	-24116.380	181.641	8210.463	4.128	0
24	44	Cr	-13360.	300.	7948.	7.	1
25	44	Mn	7030.	500.	7467.	11.	1
14	45	Si	37490.	700.	6995.	16.	1
15	45	P	15600.	500.	7464.	11.	1
16	45	S	-3989.589	1035.356	7881.807	23.008	0
17	45	Cl	-18262.543	136.163	8181.598	3.026	0
18	45	Ar	-29770.796	0.512	8419.952	0.011	0
19	45	K	-36615.638	0.522	8554.674	0.012	0
20	45	Ca	-40812.174	0.366	8630.545	0.008	0
21	45	Sc	-41071.896	0.675	8618.931	0.015	0
22	45	Ti	-39009.840	0.845	8555.722	0.019	0
23	45	V	-31886.016	0.872	8380.029	0.019	0
24	45	Cr	-19514.799	35.397	8087.728	0.787	0
25	45	Mn	-5250.	400.	7753.	9.	1
26	45	Fe	13762.	400.	7313.	9.	1
15	46	P	22970.	700.	7317.	15.	1
16	46	S	340.	500.	7792.	11.	1
17	46	Cl	-13859.398	208.661	8083.480	4.536	0
18	46	Ar	-29772.926	1.118	8412.419	0.024	0
19	46	K	-35413.924	0.727	8518.042	0.016	0
20	46	Ca	-43139.361	2.235	8668.979	0.049	0
21	46	Sc	-41761.219	0.683	8622.012	0.015	0
22	46	Ti	-44127.799	0.165	8656.451	0.004	0
23	46	V	-37075.351	0.202	8486.130	0.004	0
24	46	Cr	-29471.567	11.453	8303.823	0.249	0
25	46	Mn	-12570.	400.	7919.	9.	1
26	46	Fe	910.	500.	7609.	11.	1
15	47	P	29710.	800.	7190.	17.	1
16	47	S	7370.	500.	7648.	11.	1
17	47	Cl	-9780.	400.	7996.	9.	1
18	47	Ar	-25366.338	1.118	8311.404	0.024	0
19	47	K	-35711.976	1.397	8514.879	0.030	0
20	47	Ca	-42344.418	2.222	8639.349	0.047	0
21	47	Sc	-44336.595	1.933	8665.090	0.041	0
22	47	Ti	-44937.364	0.115	8661.227	0.002	0
23	47	V	-42006.618	0.169	8582.225	0.004	0
24	47	Cr	-34562.578	6.030	8407.195	0.128	0
25	47	Mn	-22566.374	31.671	8135.311	0.674	0
26	47	Fe	-6870.	500.	7785.	11.	1
27	47	Co	10370.	600.	7401.	13.	1
16	48	S	12761.	596.	7545.	12.	1
17	48	Cl	-4280.	500.	7883.	10.	1
18	48	Ar	-22281.337	307.393	8242.132	6.404	0
19	48	K	-32284.477	0.773	8434.232	0.016	0
20	48	Ca	-44224.629	0.096	8666.686	0.002	0
21	48	Sc	-44503.842	4.951	8656.204	0.103	0
22	48	Ti	-48492.709	0.109	8723.006	0.002	0
23	48	V	-44477.694	0.975	8623.061	0.020	0
24	48	Cr	-42822.020	7.324	8572.269	0.153	0
25	48	Mn	-29296.338	6.939	8274.185	0.145	0
26	48	Fe	-18000.	400.	8023.	8.	1
27	48	Co	1500.	500.	7600.	10.	1
28	48	Ni	16793.	502.	7265.	10.	1
16	49	S	21093.	667.	7385.	14.	1
17	49	Cl	940.	600.	7781.	12.	1
18	49	Ar	-17190.	400.	8135.	8.	1
19	49	K	-29611.490	0.801	8372.274	0.016	0
20	49	Ca	-41299.765	0.201	8594.844	0.004	0
21	49	Sc	-46561.265	2.698	8686.256	0.055	0
22	49	Ti	-48563.787	0.114	8711.157	0.002	0
23	49	V	-47961.931	0.828	8682.908	0.017	0
24	49	Cr	-45333.060	2.243	8613.291	0.046	0
25	49	Mn	-37620.634	2.255	8439.929	0.046	0
26	49	Fe	-24750.727	24.219	8161.311	0.494	0
27	49	Co	-9880.	500.	7842.	10.	1
28	49	Ni	8200.	600.	7457.	12.	1
17	50	Cl	7740.	600.	7651.	12.	1
18	50	Ar	-13330.	500.	8056.	10.	1
19	50	K	-25727.848	7.731	8288.582	0.155	0
20	50	Ca	-39589.224	1.584	8550.163	0.032	0
21	50	Sc	-44547.382	15.000	8633.679	0.300	0
22	50	Ti	-51431.660	0.121	8755.718	0.002	0
23	50	V	-49224.013	0.409	8695.918	0.008	0
24	50	Cr	-50262.072	0.437	8701.032	0.009	0
25	50	Mn	-42627.595	0.442	8532.696	0.009	0
26	50	Fe	-34476.456	8.383	8354.026	0.168	0
27	50	Co	-17630.	400.	8001.	8.	1
28	50	Ni	-4120.	500.	7716.	10.	1
17	51	Cl	14290.	700.	7530.	14.	1
18	51	Ar	-6690.	600.	7926.	12.	1
19	51	K	-22516.196	13.047	8221.349	0.256	0
20	51	Ca	-36332.304	0.522	8476.913	0.010	0
21	51	Sc	-43228.684	20.000	8596.796	0.392	0
22	51	Ti	-49732.837	0.505	8708.988	0.010	0
23	51	V	-52203.842	0.401	8742.099	0.008	0
24	51	Cr	-51451.395	0.400	8712.005	0.008	0
25	51	Mn	-48243.877	0.502	8633.772	0.010	0
26	51	Fe	-40202.555	8.964	8460.759	0.176	0
27	51	Co	-27342.143	48.438	8193.254	0.950	0
28	51	Ni	-11900.	500.	7875.	10.	1
18	52	Ar	-1280.	600.	7825.	12.	1
19	52	K	-17137.627	33.534	8115.029	0.645	0
20	52	Ca	-34266.266	0.671	8429.381	0.013	0
21	52	Sc	-40443.279	81.852	8533.125	1.574	0
22	52	Ti	-49469.820	7.072	8691.667	0.136	0
23	52	V	-51443.769	0.420	8714.582	0.008	0
24	52	Cr	-55419.242	0.340	8775.989	0.007	0
25	52	Mn	-50707.284	1.845	8670.329	0.035	0
26	52	Fe	-48330.363	5.117	8609.574	0.098	0
27	52	Co	-34360.951	8.383	8325.886	0.161	0
28	52	Ni	-22330.	400.	8079.	8.	1
29	52	Cu	-2280.	600.	7679.	12.	1
18	53	Ar	6791.	699.	7677.	13.	1
19	53	K	-12295.721	111.779	8022.848	2.109	0
20	53	Ca	-29387.704	43.780	8330.577	0.826	0
21	53	Sc	-38906.808	94.087	8495.421	1.775	0
22	53	Ti	-46831.061	100.049	8630.174	1.888	0
23	53	V	-51851.061	3.120	8710.130	0.059	0
24	53	Cr	-55286.999	0.348	8760.198	0.007	0
25	53	Mn	-54690.116	0.450	8734.175	0.009	0
26	53	Fe	-50947.530	1.656	8648.799	0.031	0
27	53	Co	-42659.428	1.713	8477.658	0.032	0
28	53	Ni	-29630.824	25.150	8217.074	0.475	0
29	53	Cu	-13270.	500.	7894.	9.	1
19	54	K	-5002.	596.	7889.	11.	1
20	54	Ca	-25160.585	48.438	8247.496	0.897	0
21	54	Sc	-33890.900	272.800	8394.681	5.052	0
22	54	Ti	-45621.981	82.461	8597.435	1.527	0
23	54	V	-49893.173	15.004	8662.043	0.278	0
24	54	Cr	-56934.765	0.353	8777.955	0.007	0
25	54	Mn	-55557.629	1.059	8737.965	0.020	0
26	54	Fe	-56254.500	0.372	8736.382	0.007	0
27	54	Co	-48009.953	0.383	8569.217	0.007	0
28	54	Ni	-39278.308	4.657	8393.032	0.086	0
29	54	Cu	-21410.	400.	8048.	7.	1
30	54	Zn	-6272.	400.	7753.	7.	1
19	55	K	708.	699.	7788.	13.	1
20	55	Ca	-18350.	300.	8120.	5.	1
21	55	Sc	-30159.352	454.342	8320.955	8.261	0
22	55	Ti	-41668.088	161.602	8515.980	2.938	0
23	55	V	-49144.586	95.104	8637.692	1.729	0
24	55	Cr	-55109.710	0.399	8731.924	0.007	0
25	55	Mn	-57712.413	0.303	8765.022	0.006	0
26	55	Fe	-57481.300	0.342	8746.595	0.006	0
27	55	Co	-54029.883	0.428	8669.618	0.008	0
28	55	Ni	-45335.849	0.719	8497.320	0.013	0
29	55	Cu	-31635.399	155.559	8233.996	2.828	0
30	55	Zn	-14570.	400.	7909.	7.	1
19	56	K	7927.	801.	7664.	14.	1
20	56	Ca	-13898.	400.	8040.	7.	1
21	56	Sc	-24852.260	586.841	8221.728	10.479	0
22	56	Ti	-39320.048	121.247	8466.110	2.165	0
23	56	V	-46154.881	176.898	8574.191	3.159	0
24	56	Cr	-55285.001	0.603	8723.258	0.011	0
25	56	Mn	-56911.538	0.331	8738.333	0.006	0
26	56	Fe	-60607.082	0.302	8790.354	0.005	0
27	56	Co	-56040.402	0.493	8694.836	0.009	0
28	56	Ni	-53907.539	0.422	8642.779	0.008	0
29	56	Cu	-38643.029	14.904	8356.227	0.266	0
30	56	Zn	-25390.	400.	8106.	7.	1
31	56	Ga	-3390.	500.	7699.	9.	1
20	57	Ca	-6874.	400.	7917.	7.	1
21	57	Sc	-20995.875	1304.092	8151.433	22.879	0
22	57	Ti	-33915.633	256.417	8364.370	4.499	0
23	57	V	-44413.450	80.479	8534.817	1.412	0
24	57	Cr	-52524.702	1.068	8663.394	0.019	0
25	57	Mn	-57486.251	1.505	8736.713	0.026	0
26	57	Fe	-60181.839	0.304	8770.279	0.005	0
27	57	Co	-59345.564	0.533	8741.882	0.009	0
28	57	Ni	-56083.833	0.582	8670.933	0.010	0
29	57	Cu	-47308.886	0.519	8503.262	0.009	0
30	57	Zn	-32550.	200.	8231.	4.	1
31	57	Ga	-15010.	400.	7909.	7.	1
20	58	Ca	-1919.	500.	7835.	9.	1
21	58	Sc	-14876.	400.	8045.	7.	1
22	58	Ti	-31110.	200.	8311.	3.	1
23	58	V	-40401.753	89.374	8457.658	1.541	0
