N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
1.2,1,0.91,0,7.629,7.63136
1.32,1,0.8,1,7.763,7.72558
1.31,0,0.81,0,7.78,7.7501
1.33,0,0.8,1,7.741,7.69889
1.34,1,0.8,1,7.727,7.67877
1.33,0,0.81,0,7.745,7.71331
1.35,0,0.8,1,7.705,7.64904
1.34,1,0.81,0,7.73,7.69376
1.36,1,0.8,1,7.69,7.62455
1.35,0,0.81,0,7.71,7.67049
1.34,1,0.82,1,7.74,7.71506
1.36,1,0.81,0,7.695,7.64638
1.35,0,0.82,1,7.719,7.69237
1.25,0,0.92,1,7.634,7.62034
1.37,0,0.81,0,7.674,7.62064
1.36,1,0.82,1,7.706,7.67412
1.37,0,0.82,1,7.686,7.6487
1.36,1,0.83,0,7.7,7.68444
1.38,1,0.82,1,7.672,7.62663
1.37,0,0.83,0,7.682,7.66417
1.29,0,0.91,0,7.656,7.65325
1.28,1,0.92,1,7.64,7.63978
1.27,0,0.93,0,7.603,7.59181
1.38,1,0.83,0,7.668,7.64314
1.28,1,0.93,0,7.607,7.60771
1.39,0,0.83,0,7.649,7.6207
1.31,0,0.91,0,7.651,7.65499
